id,Tên tỉnh,Tên tỉnh không dấu,Loại,Tên đầy đủ,Tên xã phường,Loại,slug,name_with_type,path,path_with_type,code,parent_code
5134,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Biên,phuong,an-bien,Phường An Biên,"An Biên, Hải Phòng","Phường An Biên, Thành phố Hải Phòng",5134,14
5390,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Quyết Thắng,xa,quyet-thang,Xã Quyết Thắng,"Quyết Thắng, Hải Phòng","Xã Quyết Thắng, Thành phố Hải Phòng",5390,14
5646,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Tiên Minh,xa,tien-minh,Xã Tiên Minh,"Tiên Minh, Hải Phòng","Xã Tiên Minh, Thành phố Hải Phòng",5646,14
5902,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Trần Liễu,phuong,tran-lieu,Phường Trần Liễu,"Trần Liễu, Hải Phòng","Phường Trần Liễu, Thành phố Hải Phòng",5902,14
6158,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Lê Thanh Nghị,phuong,le-thanh-nghi,Phường Lê Thanh Nghị,"Lê Thanh Nghị, Hải Phòng","Phường Lê Thanh Nghị, Thành phố Hải Phòng",6158,14
6414,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Thạch Khôi,phuong,thach-khoi,Phường Thạch Khôi,"Thạch Khôi, Hải Phòng","Phường Thạch Khôi, Thành phố Hải Phòng",6414,14
6670,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Tân Kỳ,xa,tan-ky,Xã Tân Kỳ,"Tân Kỳ, Hải Phòng","Xã Tân Kỳ, Thành phố Hải Phòng",6670,14
6926,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nguyên Giáp,xa,nguyen-giap,Xã Nguyên Giáp,"Nguyên Giáp, Hải Phòng","Xã Nguyên Giáp, Thành phố Hải Phòng",6926,14
7182,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nam An Phụ,xa,nam-an-phu,Xã Nam An Phụ,"Nam An Phụ, Hải Phòng","Xã Nam An Phụ, Thành phố Hải Phòng",7182,14
7438,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Bắc An Phụ,phuong,bac-an-phu,Phường Bắc An Phụ,"Bắc An Phụ, Hải Phòng","Phường Bắc An Phụ, Thành phố Hải Phòng",7438,14
7694,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hà Nam,xa,ha-nam,Xã Hà Nam,"Hà Nam, Hải Phòng","Xã Hà Nam, Thành phố Hải Phòng",7694,14
7950,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hà Tây,xa,ha-tay,Xã Hà Tây,"Hà Tây, Hải Phòng","Xã Hà Tây, Thành phố Hải Phòng",7950,14
8206,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nguyễn Lương Bằng,xa,nguyen-luong-bang,Xã Nguyễn Lương Bằng,"Nguyễn Lương Bằng, Hải Phòng","Xã Nguyễn Lương Bằng, Thành phố Hải Phòng",8206,14
8462,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Lạc Phượng,xa,lac-phuong,Xã Lạc Phượng,"Lạc Phượng, Hải Phòng","Xã Lạc Phượng, Thành phố Hải Phòng",8462,14
8718,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Trần Nhân Tông,phuong,tran-nhan-tong,Phường Trần Nhân Tông,"Trần Nhân Tông, Hải Phòng","Phường Trần Nhân Tông, Thành phố Hải Phòng",8718,14
8974,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Trần Hưng Đạo,phuong,tran-hung-dao,Phường Trần Hưng Đạo,"Trần Hưng Đạo, Hải Phòng","Phường Trần Hưng Đạo, Thành phố Hải Phòng",8974,14
9230,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Đại Sơn,xa,dai-son,Xã Đại Sơn,"Đại Sơn, Hải Phòng","Xã Đại Sơn, Thành phố Hải Phòng",9230,14
9486,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Đặc Khu Bạch Long Vĩ,xa,dac-khu-bach-long-vi,Xã Đặc Khu Bạch Long Vĩ,"Đặc Khu Bạch Long Vĩ, Hải Phòng","Xã Đặc Khu Bạch Long Vĩ, Thành phố Hải Phòng",9486,14
9742,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Hải,phuong,an-hai,Phường An Hải,"An Hải, Hải Phòng","Phường An Hải, Thành phố Hải Phòng",9742,14
9998,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Kiến Hưng,xa,kien-hung,Xã Kiến Hưng,"Kiến Hưng, Hải Phòng","Xã Kiến Hưng, Thành phố Hải Phòng",9998,14
10254,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Gia Viên,phuong,gia-vien,Phường Gia Viên,"Gia Viên, Hải Phòng","Phường Gia Viên, Thành phố Hải Phòng",10254,14
10510,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Vĩnh Am,xa,vinh-am,Xã Vĩnh Am,"Vĩnh Am, Hải Phòng","Xã Vĩnh Am, Thành phố Hải Phòng",10510,14
10766,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Trường Tân,xa,truong-tan,Xã Trường Tân,"Trường Tân, Hải Phòng","Xã Trường Tân, Thành phố Hải Phòng",10766,14
11022,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hồng An,phuong,hong-an,Phường Hồng An,"Hồng An, Hải Phòng","Phường Hồng An, Thành phố Hải Phòng",11022,14
11278,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Phong,phuong,an-phong,Phường An Phong,"An Phong, Hải Phòng","Phường An Phong, Thành phố Hải Phòng",11278,14
11534,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Kim Thành,xa,kim-thanh,Xã Kim Thành,"Kim Thành, Hải Phòng","Xã Kim Thành, Thành phố Hải Phòng",11534,14
11790,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Thiên Hương,phuong,thien-huong,Phường Thiên Hương,"Thiên Hương, Hải Phòng","Phường Thiên Hương, Thành phố Hải Phòng",11790,14
12046,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Lưu Kiếm,phuong,luu-kiem,Phường Lưu Kiếm,"Lưu Kiếm, Hải Phòng","Phường Lưu Kiếm, Thành phố Hải Phòng",12046,14
12302,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hòa Bình,phuong,hoa-binh,Phường Hòa Bình,"Hòa Bình, Hải Phòng","Phường Hòa Bình, Thành phố Hải Phòng",12302,14
12558,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nam Triệu,phuong,nam-trieu,Phường Nam Triệu,"Nam Triệu, Hải Phòng","Phường Nam Triệu, Thành phố Hải Phòng",12558,14
12814,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Việt Khê,xa,viet-khe,Xã Việt Khê,"Việt Khê, Hải Phòng","Xã Việt Khê, Thành phố Hải Phòng",12814,14
13070,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Lê Ích Mộc,phuong,le-ich-moc,Phường Lê Ích Mộc,"Lê Ích Mộc, Hải Phòng","Phường Lê Ích Mộc, Thành phố Hải Phòng",13070,14
13326,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Phú,xa,an-phu,Xã An Phú,"An Phú, Hải Phòng","Xã An Phú, Thành phố Hải Phòng",13326,14
13582,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hà Bắc,xa,ha-bac,Xã Hà Bắc,"Hà Bắc, Hải Phòng","Xã Hà Bắc, Thành phố Hải Phòng",13582,14
13838,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Lai Khê,xa,lai-khe,Xã Lai Khê,"Lai Khê, Hải Phòng","Xã Lai Khê, Thành phố Hải Phòng",13838,14
14094,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Hưng,xa,an-hung,Xã An Hưng,"An Hưng, Hải Phòng","Xã An Hưng, Thành phố Hải Phòng",14094,14
14350,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Quang,xa,an-quang,Xã An Quang,"An Quang, Hải Phòng","Xã An Quang, Thành phố Hải Phòng",14350,14
14606,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Trường,xa,an-truong,Xã An Trường,"An Trường, Hải Phòng","Xã An Trường, Thành phố Hải Phòng",14606,14
14862,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Kiến Minh,xa,kien-minh,Xã Kiến Minh,"Kiến Minh, Hải Phòng","Xã Kiến Minh, Thành phố Hải Phòng",14862,14
15118,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nghi Dương,xa,nghi-duong,Xã Nghi Dương,"Nghi Dương, Hải Phòng","Xã Nghi Dương, Thành phố Hải Phòng",15118,14
15374,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Tiên Lãng,xa,tien-lang,Xã Tiên Lãng,"Tiên Lãng, Hải Phòng","Xã Tiên Lãng, Thành phố Hải Phòng",15374,14
15630,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Chấn Hưng,xa,chan-hung,Xã Chấn Hưng,"Chấn Hưng, Hải Phòng","Xã Chấn Hưng, Thành phố Hải Phòng",15630,14
15886,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hùng Thắng,xa,hung-thang,Xã Hùng Thắng,"Hùng Thắng, Hải Phòng","Xã Hùng Thắng, Thành phố Hải Phòng",15886,14
16142,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Vĩnh Bảo,xa,vinh-bao,Xã Vĩnh Bảo,"Vĩnh Bảo, Hải Phòng","Xã Vĩnh Bảo, Thành phố Hải Phòng",16142,14
16398,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nguyễn Bỉnh Khiêm,xa,nguyen-binh-khiem,Xã Nguyễn Bỉnh Khiêm,"Nguyễn Bỉnh Khiêm, Hải Phòng","Xã Nguyễn Bỉnh Khiêm, Thành phố Hải Phòng",16398,14
16654,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Vĩnh Hải,xa,vinh-hai,Xã Vĩnh Hải,"Vĩnh Hải, Hải Phòng","Xã Vĩnh Hải, Thành phố Hải Phòng",16654,14
16910,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Vĩnh Hòa,xa,vinh-hoa,Xã Vĩnh Hòa,"Vĩnh Hòa, Hải Phòng","Xã Vĩnh Hòa, Thành phố Hải Phòng",16910,14
17166,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Vĩnh Thịnh,xa,vinh-thinh,Xã Vĩnh Thịnh,"Vĩnh Thịnh, Hải Phòng","Xã Vĩnh Thịnh, Thành phố Hải Phòng",17166,14
17422,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Vĩnh Thuận,xa,vinh-thuan,Xã Vĩnh Thuận,"Vĩnh Thuận, Hải Phòng","Xã Vĩnh Thuận, Thành phố Hải Phòng",17422,14
17678,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Bạch Đằng,phuong,bach-dang,Phường Bạch Đằng,"Bạch Đằng, Hải Phòng","Phường Bạch Đằng, Thành phố Hải Phòng",17678,14
17934,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hải Dương,phuong,hai-duong,Phường Hải Dương,"Hải Dương, Hải Phòng","Phường Hải Dương, Thành phố Hải Phòng",17934,14
18190,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Thành Đông,phuong,thanh-dong,Phường Thành Đông,"Thành Đông, Hải Phòng","Phường Thành Đông, Thành phố Hải Phòng",18190,14
18446,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nam Đồng,phuong,nam-dong,Phường Nam Đồng,"Nam Đồng, Hải Phòng","Phường Nam Đồng, Thành phố Hải Phòng",18446,14
18702,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Chí Linh,phuong,chi-linh,Phường Chí Linh,"Chí Linh, Hải Phòng","Phường Chí Linh, Thành phố Hải Phòng",18702,14
18958,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nguyễn Trãi,phuong,nguyen-trai,Phường Nguyễn Trãi,"Nguyễn Trãi, Hải Phòng","Phường Nguyễn Trãi, Thành phố Hải Phòng",18958,14
19214,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Lê Đại Hành,phuong,le-dai-hanh,Phường Lê Đại Hành,"Lê Đại Hành, Hải Phòng","Phường Lê Đại Hành, Thành phố Hải Phòng",19214,14
19470,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Kinh Môn,phuong,kinh-mon,Phường Kinh Môn,"Kinh Môn, Hải Phòng","Phường Kinh Môn, Thành phố Hải Phòng",19470,14
19726,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nguyễn Đại Năng,phuong,nguyen-dai-nang,Phường Nguyễn Đại Năng,"Nguyễn Đại Năng, Hải Phòng","Phường Nguyễn Đại Năng, Thành phố Hải Phòng",19726,14
19982,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Phạm Sư Mạnh,phuong,pham-su-manh,Phường Phạm Sư Mạnh,"Phạm Sư Mạnh, Hải Phòng","Phường Phạm Sư Mạnh, Thành phố Hải Phòng",19982,14
20238,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nhị Chiểu,phuong,nhi-chieu,Phường Nhị Chiểu,"Nhị Chiểu, Hải Phòng","Phường Nhị Chiểu, Thành phố Hải Phòng",20238,14
20494,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nam Sách,xa,nam-sach,Xã Nam Sách,"Nam Sách, Hải Phòng","Xã Nam Sách, Thành phố Hải Phòng",20494,14
20750,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Thái Tân,xa,thai-tan,Xã Thái Tân,"Thái Tân, Hải Phòng","Xã Thái Tân, Thành phố Hải Phòng",20750,14
21006,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Trần Phú,xa,tran-phu,Xã Trần Phú,"Trần Phú, Hải Phòng","Xã Trần Phú, Thành phố Hải Phòng",21006,14
21262,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hợp Tiến,xa,hop-tien,Xã Hợp Tiến,"Hợp Tiến, Hải Phòng","Xã Hợp Tiến, Thành phố Hải Phòng",21262,14
21518,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Thanh Hà,xa,thanh-ha,Xã Thanh Hà,"Thanh Hà, Hải Phòng","Xã Thanh Hà, Thành phố Hải Phòng",21518,14
21774,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hà Đông,xa,ha-dong,Xã Hà Đông,"Hà Đông, Hải Phòng","Xã Hà Đông, Thành phố Hải Phòng",21774,14
22030,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Cẩm Giang,xa,cam-giang,Xã Cẩm Giang,"Cẩm Giang, Hải Phòng","Xã Cẩm Giang, Thành phố Hải Phòng",22030,14
22286,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Tuệ Tĩnh,xa,tue-tinh,Xã Tuệ Tĩnh,"Tuệ Tĩnh, Hải Phòng","Xã Tuệ Tĩnh, Thành phố Hải Phòng",22286,14
22542,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Tứ Kỳ,xa,tu-ky,Xã Tứ Kỳ,"Tứ Kỳ, Hải Phòng","Xã Tứ Kỳ, Thành phố Hải Phòng",22542,14
22798,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Chí Minh,xa,chi-minh,Xã Chí Minh,"Chí Minh, Hải Phòng","Xã Chí Minh, Thành phố Hải Phòng",22798,14
23054,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Ninh Giang,xa,ninh-giang,Xã Ninh Giang,"Ninh Giang, Hải Phòng","Xã Ninh Giang, Thành phố Hải Phòng",23054,14
23310,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Vĩnh Lại,xa,vinh-lai,Xã Vĩnh Lại,"Vĩnh Lại, Hải Phòng","Xã Vĩnh Lại, Thành phố Hải Phòng",23310,14
23566,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Khúc Thừa Dụ,xa,khuc-thua-du,Xã Khúc Thừa Dụ,"Khúc Thừa Dụ, Hải Phòng","Xã Khúc Thừa Dụ, Thành phố Hải Phòng",23566,14
23822,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Tân An,xa,tan-an,Xã Tân An,"Tân An, Hải Phòng","Xã Tân An, Thành phố Hải Phòng",23822,14
24078,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hồng Châu,xa,hong-chau,Xã Hồng Châu,"Hồng Châu, Hải Phòng","Xã Hồng Châu, Thành phố Hải Phòng",24078,14
24334,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Thanh Miện,xa,thanh-mien,Xã Thanh Miện,"Thanh Miện, Hải Phòng","Xã Thanh Miện, Thành phố Hải Phòng",24334,14
24590,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Bắc Thanh Miện,xa,bac-thanh-mien,Xã Bắc Thanh Miện,"Bắc Thanh Miện, Hải Phòng","Xã Bắc Thanh Miện, Thành phố Hải Phòng",24590,14
24846,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hải Hưng,xa,hai-hung,Xã Hải Hưng,"Hải Hưng, Hải Phòng","Xã Hải Hưng, Thành phố Hải Phòng",24846,14
25102,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Nam Thanh Miện,xa,nam-thanh-mien,Xã Nam Thanh Miện,"Nam Thanh Miện, Hải Phòng","Xã Nam Thanh Miện, Thành phố Hải Phòng",25102,14
25358,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Thành,xa,an-thanh,Xã An Thành,"An Thành, Hải Phòng","Xã An Thành, Thành phố Hải Phòng",25358,14
25614,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Đặc Khu Cát Hải,xa,dac-khu-cat-hai,Xã Đặc Khu Cát Hải,"Đặc Khu Cát Hải, Hải Phòng","Xã Đặc Khu Cát Hải, Thành phố Hải Phòng",25614,14
25870,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Kiến Thụy,xa,kien-thuy,Xã Kiến Thụy,"Kiến Thụy, Hải Phòng","Xã Kiến Thụy, Thành phố Hải Phòng",25870,14
26126,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Thủy Nguyên,phuong,thuy-nguyen,Phường Thủy Nguyên,"Thủy Nguyên, Hải Phòng","Phường Thủy Nguyên, Thành phố Hải Phòng",26126,14
26382,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hồng Bàng,phuong,hong-bang,Phường Hồng Bàng,"Hồng Bàng, Hải Phòng","Phường Hồng Bàng, Thành phố Hải Phòng",26382,14
26638,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Ngô Quyền,phuong,ngo-quyen,Phường Ngô Quyền,"Ngô Quyền, Hải Phòng","Phường Ngô Quyền, Thành phố Hải Phòng",26638,14
26894,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Lê Chân,phuong,le-chan,Phường Lê Chân,"Lê Chân, Hải Phòng","Phường Lê Chân, Thành phố Hải Phòng",26894,14
27150,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Đồ Sơn,phuong,do-son,Phường Đồ Sơn,"Đồ Sơn, Hải Phòng","Phường Đồ Sơn, Thành phố Hải Phòng",27150,14
27406,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Hưng Đạo,phuong,hung-dao,Phường Hưng Đạo,"Hưng Đạo, Hải Phòng","Phường Hưng Đạo, Thành phố Hải Phòng",27406,14
27662,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,An Dương,phuong,an-duong,Phường An Dương,"An Dương, Hải Phòng","Phường An Dương, Thành phố Hải Phòng",27662,14
27918,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Tứ Minh,phuong,tu-minh,Phường Tứ Minh,"Tứ Minh, Hải Phòng","Phường Tứ Minh, Thành phố Hải Phòng",27918,14
28174,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Chu Văn An,phuong,chu-van-an,Phường Chu Văn An,"Chu Văn An, Hải Phòng","Phường Chu Văn An, Thành phố Hải Phòng",28174,14
28430,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Kẻ Sặt,xa,ke-sat,Xã Kẻ Sặt,"Kẻ Sặt, Hải Phòng","Xã Kẻ Sặt, Thành phố Hải Phòng",28430,14
28686,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Gia Lộc,xa,gia-loc,Xã Gia Lộc,"Gia Lộc, Hải Phòng","Xã Gia Lộc, Thành phố Hải Phòng",28686,14
28942,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Yết Kiêu,xa,yet-kieu,Xã Yết Kiêu,"Yết Kiêu, Hải Phòng","Xã Yết Kiêu, Thành phố Hải Phòng",28942,14
29198,Hải Phòng,hai-phong,thanh-pho,Thành phố Hải Phòng,Phú Thái,xa,phu-thai,Xã Phú Thái,"Phú Thái, Hải Phòng","Xã Phú Thái, Thành phố Hải Phòng",29198,14
271,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Phong Nẫm,xa,phong-nam,Xã Phong Nẫm,"Phong Nẫm, Cần Thơ","Xã Phong Nẫm, Thành phố Cần Thơ",271,15
527,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Lai Hòa,xa,lai-hoa,Xã Lai Hòa,"Lai Hòa, Cần Thơ","Xã Lai Hòa, Thành phố Cần Thơ",527,15
783,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Vĩnh Hải,xa,vinh-hai,Xã Vĩnh Hải,"Vĩnh Hải, Cần Thơ","Xã Vĩnh Hải, Thành phố Cần Thơ",783,15
1039,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Mỹ Phước,xa,my-phuoc,Xã Mỹ Phước,"Mỹ Phước, Cần Thơ","Xã Mỹ Phước, Thành phố Cần Thơ",1039,15
1295,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Thạnh Phú,xa,thanh-phu,Xã Thạnh Phú,"Thạnh Phú, Cần Thơ","Xã Thạnh Phú, Thành phố Cần Thơ",1295,15
1551,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Thới Hưng,xa,thoi-hung,Xã Thới Hưng,"Thới Hưng, Cần Thơ","Xã Thới Hưng, Thành phố Cần Thơ",1551,15
1807,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Trường Long,xa,truong-long,Xã Trường Long,"Trường Long, Cần Thơ","Xã Trường Long, Thành phố Cần Thơ",1807,15
2063,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Long Tuyền,phuong,long-tuyen,Phường Long Tuyền,"Long Tuyền, Cần Thơ","Phường Long Tuyền, Thành phố Cần Thơ",2063,15
2319,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Cái Khế,phuong,cai-khe,Phường Cái Khế,"Cái Khế, Cần Thơ","Phường Cái Khế, Thành phố Cần Thơ",2319,15
2575,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,An Bình,phuong,an-binh,Phường An Bình,"An Bình, Cần Thơ","Phường An Bình, Thành phố Cần Thơ",2575,15
2831,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Tân Lộc,phuong,tan-loc,Phường Tân Lộc,"Tân Lộc, Cần Thơ","Phường Tân Lộc, Thành phố Cần Thơ",2831,15
3087,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Ninh Kiều,phuong,ninh-kieu,Phường Ninh Kiều,"Ninh Kiều, Cần Thơ","Phường Ninh Kiều, Thành phố Cần Thơ",3087,15
3343,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Tân An,phuong,tan-an,Phường Tân An,"Tân An, Cần Thơ","Phường Tân An, Thành phố Cần Thơ",3343,15
3599,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Thới An Đông,phuong,thoi-an-dong,Phường Thới An Đông,"Thới An Đông, Cần Thơ","Phường Thới An Đông, Thành phố Cần Thơ",3599,15
3855,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Cái Răng,phuong,cai-rang,Phường Cái Răng,"Cái Răng, Cần Thơ","Phường Cái Răng, Thành phố Cần Thơ",3855,15
4111,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Hưng Phú,phuong,hung-phu,Phường Hưng Phú,"Hưng Phú, Cần Thơ","Phường Hưng Phú, Thành phố Cần Thơ",4111,15
4367,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Ô Môn,phuong,o-mon,Phường Ô Môn,"Ô Môn, Cần Thơ","Phường Ô Môn, Thành phố Cần Thơ",4367,15
4623,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Thới Long,phuong,thoi-long,Phường Thới Long,"Thới Long, Cần Thơ","Phường Thới Long, Thành phố Cần Thơ",4623,15
4879,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Phước Thới,phuong,phuoc-thoi,Phường Phước Thới,"Phước Thới, Cần Thơ","Phường Phước Thới, Thành phố Cần Thơ",4879,15
5135,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Trung Nhứt,phuong,trung-nhut,Phường Trung Nhứt,"Trung Nhứt, Cần Thơ","Phường Trung Nhứt, Thành phố Cần Thơ",5135,15
5391,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Phong Điền,xa,phong-dien,Xã Phong Điền,"Phong Điền, Cần Thơ","Xã Phong Điền, Thành phố Cần Thơ",5391,15
5647,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Nhơn Ái,xa,nhon-ai,Xã Nhơn Ái,"Nhơn Ái, Cần Thơ","Xã Nhơn Ái, Thành phố Cần Thơ",5647,15
5903,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Thới Lai,xa,thoi-lai,Xã Thới Lai,"Thới Lai, Cần Thơ","Xã Thới Lai, Thành phố Cần Thơ",5903,15
6159,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Đông Thuận,xa,dong-thuan,Xã Đông Thuận,"Đông Thuận, Cần Thơ","Xã Đông Thuận, Thành phố Cần Thơ",6159,15
6415,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Trường Xuân,xa,truong-xuan,Xã Trường Xuân,"Trường Xuân, Cần Thơ","Xã Trường Xuân, Thành phố Cần Thơ",6415,15
6671,Cần Thơ,can-tho,thanh-pho,Thành phố Cần Thơ,Trường Thành,xa,truong-thanh,Xã Trường Thành,"Trường Thành, Cần Thơ","Xã Trường Thành, Thành phố Cần Thơ",6671,15
